ID,Form,Cost,Health,Damage,Range,KBCount,Speed,Cooldown,HasArea,Traits,Abilities
300,0,450,600,80,225,2,11,33.33,F,,Witch_Killer
300,1,450,600,80,225,2,11,33.33,T,,Witch_Killer
300,2,450,600,160,275,2,11,33.33,T,Dark,Weaken-Witch_Killer
301,0,90,100,8,140,3,9,5,F,,Survive
301,1,180,400,2,110,1,7,8,T,,Survive
302,0,3300,1400,1100,375,3,8,66.67,T,Angel,Freeze
302,1,3300,2000,1550,375,3,8,66.67,T,Angel,Freeze
302,2,3300,2000,1800,385,3,8,66.67,T,Aku-Angel,Freeze
303,0,525,555,200,200,4,21,14.67,F,Angel,Massive_Damage
303,1,525,555,200,200,4,21,14.67,F,Angel,Massive_Damage
303,2,525,1000,620,220,4,25,14.67,F,Angel,Curse-Curse_Immune-Massive_Damage
304,0,4875,8000,1600,375,3,5,190,T,Zombie,Long_Distance-Resistant-Weaken-Zombie_Killer
304,1,4875,8000,1600,375,3,5,190,T,Zombie,Long_Distance-Resistant-Weaken-Zombie_Killer
304,2,4875,8000,1600,400,3,5,190,T,Zombie,Long_Distance-Resistant-Weaken-Zombie_Killer
304,3,4875,8000,2800,400,3,5,190,T,Relic-Zombie,Curse_Immune-Long_Distance-Resistant-Toxic_Immune-Weaken-Zombie_Killer
305,0,4800,4800,3800,440,3,7,186.67,T,Red-Zombie,Massive_Damage-Zombie_Killer
305,1,4800,4800,3800,440,3,7,186.67,T,Red-Zombie,Massive_Damage-Zombie_Killer
305,2,4800,4800,3800,440,3,7,186.67,T,Red-Zombie,Massive_Damage-Zombie_Killer
305,3,4800,5600,3800,480,3,7,155.33,T,Red-Zombie,Knockback_Immune-Massive_Damage-Zombie_Killer
306,0,4950,4000,1800,450,5,10,193.33,T,Zombie,Knockback-Zombie_Killer
306,1,4950,4000,1800,450,5,10,193.33,T,Zombie,Knockback-Zombie_Killer
306,2,4950,4200,1800,450,7,10,193.33,T,Zombie,Knockback-Zombie_Killer
306,3,4950,5200,1800,450,7,10,193.33,T,Zombie,Explosion-Explosion_Immune-Knockback-Omnistrike-Sage_Slayer-Zombie_Killer
307,0,1050,450,400,350,3,14,30,T,Zombie,Long_Distance-Slow-Zombie_Killer
307,1,1050,600,550,350,3,14,30,T,Zombie,Long_Distance-Slow-Zombie_Killer
307,2,1050,750,550,350,3,20,30,T,Zombie,Long_Distance-Slow-Zombie_Killer
308,0,540,400,15,200,3,9,20,F,Zombie,Freeze-Zombie_Killer
308,1,540,500,20,200,3,9,20,F,Zombie,Freeze-Zombie_Killer
308,2,540,1000,20,250,3,9,20,F,Zombie,Freeze-Zombie_Killer
309,0,540,570,90,160,3,14,16.67,F,,Critical
309,1,540,570,90,160,3,14,16.67,F,,Critical
310,0,4350,1600,1530,445,3,9,130,T,Alien-Angel,Knockback-Slow
310,1,4350,2500,2130,445,3,9,130,T,Alien-Angel,Knockback-Slow
310,2,4350,2850,2130,445,3,9,130,T,Aku-Alien-Angel,Knockback-Slow
311,0,1200,280,180,140,3,8,13,F,Red,Strong
311,1,1200,280,180,140,3,8,13,F,Red,Strong
311,2,1200,1120,360,140,3,8,17,F,Red,Critical-Strong
312,0,1500,320,350,320,3,8,19,F,,
312,1,1500,320,350,320,3,8,19,F,,
312,2,1500,900,400,400,3,10,25.67,F,,
313,0,1950,400,280,140,1,6,27,T,,
313,1,1950,400,280,140,1,6,27,T,,
313,2,1950,1600,460,140,1,6,31,T,Non-Metal,Knockback
314,0,148,500,100,220,3,5,66.6,T,,Critical
314,1,148,900,150,220,3,5,66.6,T,,Critical
314,2,148,900,450,220,3,5,51.8,T,,Critical-Multi_Hit
315,0,900,600,300,200,3,6,40,T,Red,Freeze
315,1,900,600,300,200,3,6,40,T,Red,Freeze
316,0,3900,2250,1850,350,5,30,93.33,T,Metal-Zombie,Freeze-Zombie_Killer
316,1,3900,3000,2500,350,5,30,93.33,T,Metal-Zombie,Freeze-Zombie_Killer
316,2,3900,3300,2750,350,5,36,93.33,T,Metal-Zombie,Freeze-Zombie_Killer
317,0,360,200,60,150,3,9,8.33,F,Red,Strong
317,1,360,200,60,150,3,9,8.33,F,Red,Strong
318,0,750,500,500,250,8,8,24,T,All,Freeze_Immune-Knockback_Immune-Long_Distance-Resistant-Slow_Immune-Wave_Immune-Weaken_Immune
318,1,5250,1750,1250,350,15,6,166.67,T,All,Freeze_Immune-Knockback_Immune-Long_Distance-Resistant-Slow-Slow_Immune-Wave_Immune-Weaken_Immune
319,0,7500,100,8,140,3,10,5,F,,
319,1,7500,100,8,140,3,10,5,F,,
319,2,900,2300,140,140,3,10,14.8,F,Floating,Behemoth_Slayer-Strong-Surge_Immune
320,0,750,500,150,250,3,8,33.33,T,Floating,Freeze
320,1,750,500,150,250,3,8,33.33,T,Floating,Freeze
320,2,750,500,150,250,3,8,33.33,T,Floating,Freeze
321,0,600,400,80,340,3,8,14,F,,
321,1,600,400,80,340,3,8,14,F,Dark,Massive_Damage
322,0,780,680,360,300,4,12,16,T,Angel-Zombie,Strong-Zombie_Killer
322,1,5700,4750,2550,460,4,9,160,T,Angel-Zombie,Slow_Immune-Strong-Zombie_Killer
322,2,5700,5750,2550,460,4,9,160,T,Angel-Zombie,Slow_Immune-Strong-Weaken_Immune-Zombie_Killer
323,0,4800,1900,1900,400,3,5,160,T,,Wave_Immune
323,1,4800,1900,1900,400,3,5,160,T,,Wave_Immune
323,2,4800,2500,2500,400,3,5,160,T,Relic,Curse_Immune-Freeze-Wave_Immune-Zombie_Killer
324,0,720,3000,400,120,1,25,40,F,,Freeze_Immune-Knockback_Immune-Slow_Immune-Warp_Immune-Wave_Immune-Weaken_Immune
324,1,720,4000,500,120,1,25,40,F,,Freeze_Immune-Knockback_Immune-Slow_Immune-Warp_Immune-Wave_Immune-Weaken_Immune
324,2,720,6000,500,120,1,35,40,F,,Freeze_Immune-Knockback_Immune-Slow_Immune-Warp_Immune-Wave_Immune-Weaken_Immune
325,0,540,360,77,250,3,9,18.0,F,Zombie,Knockback-Multi_Hit-Zombie_Killer
325,1,540,480,99,250,3,9,18.0,F,Zombie,Knockback-Multi_Hit-Zombie_Killer
325,2,540,960,99,280,3,9,18.0,F,Zombie,Knockback-Multi_Hit-Zombie_Killer
326,0,4470,1880,1280,445,4,8,132,T,Red,Knockback-Massive_Damage
326,1,4470,2480,1680,445,4,8,132,T,Red,Knockback-Massive_Damage
327,0,1800,950,300,300,6,33,60,T,,Strengthen
327,1,1800,1450,450,300,6,33,60,T,,Strengthen
328,0,720,400,50,300,3,10,21.33,T,,
328,1,720,400,50,300,3,10,21.33,T,,
329,0,570,380,38,150,3,7,16,F,Angel,Slow
329,1,570,380,38,250,3,7,16,F,Angel,Slow
329,2,570,380,38,250,3,7,16,F,Angel,Slow
330,0,5475,3060,1055,410,3,13,153.33,T,Angel,Knockback-Strong
330,1,5475,3620,1722,410,3,13,153.33,T,Angel,Knockback-Strong
330,2,5475,3620,1722,410,3,13,153.33,T,Angel,Colossus_Slayer-Knockback-Strong-Weaken_Immune
