ID,LevelFormat,TrueXPCost,TrueMaterial1,TrueMaterialCount1,TrueMaterial2,TrueMaterialCount2,TrueMaterial3,TrueMaterialCount3,TrueMaterial4,TrueMaterialCount4,TrueMaterial5,TrueMaterialCount5,TalentNP,UltraXPCost,UltraMaterial1,UltraMaterialCount1,UltraMaterial2,UltraMaterialCount2,UltraMaterial3,UltraMaterialCount3,UltraMaterial4,UltraMaterialCount4,UltraMaterial5,UltraMaterialCount5,UltraTalentNP
500,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
501,Advent,,,,,,,,,,,,,,,,,,,,,,,,
502,,1000000,green_fruit,2,purple_fruit,1,red_fruit,2,blue_fruit,1,epic_fruit,5,175-100-100-175-175,,,,,,,,,,,,
503,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
504,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
505,,1000000,green_fruit,2,red_fruit,2,blue_fruit,1,yellow_fruit,1,epic_fruit,5,235-235-175-175-175,,,,,,,,,,,,
506,,1000000,green_fruit,3,red_fruit,3,epic_fruit,6,,,,,175-100-100-175-175,,,,,,,,,,,,
507,,,,,,,,,,,,,,,,,,,,,,,,,
508,,,,,,,,,,,,,,,,,,,,,,,,,
509,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
510,,,,,,,,,,,,,,,,,,,,,,,,,
511,,1000000,epic_fruit,3,,,,,,,,,,,,,,,,,,,,,
512,,,,,,,,,,,,,,,,,,,,,,,,,
513,,,,,,,,,,,,,,,,,,,,,,,,,
514,,,,,,,,,,,,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,,,,,,,,,,,
516,,,,,,,,,,,,,,,,,,,,,,,,,
517,,1000000,epic_fruit,3,,,,,,,,,,,,,,,,,,,,,
518,,,,,,,,,,,,,,,,,,,,,,,,,
519,,1000000,epic_seed,10,elder_fruit,1,gold_fruit,1,,,,,175-100-175-175-175,,,,,,,,,,,,
520,,,,,,,,,,,,,,,,,,,,,,,,,
521,Advent,,,,,,,,,,,,,,,,,,,,,,,,
522,,500000,aku_seed,2,epic_fruit,3,,,,,,,75-75-125-125-125,,,,,,,,,,,,
523,,200000,purple_seed,3,red_seed,2,blue_seed,2,yellow_seed,1,green_fruit,2,95-50-75-75-75,,,,,,,,,,,,
524,Advent,,,,,,,,,,,,,,,,,,,,,,,,
525,,1000000,green_fruit,3,red_fruit,4,blue_fruit,3,yellow_fruit,8,elder_fruit,2,100-175-175-175-175,,,,,,,,,,,,
526,,,,,,,,,,,,,,,,,,,,,,,,,
527,Advent,,,,,,,,,,,,,,,,,,,,,,,,
528,Advent,,,,,,,,,,,,,,,,,,,,,,,,
529,,,,,,,,,,,,,,,,,,,,,,,,,
530,,,,,,,,,,,,,,,,,,,,,,,,,
531,Advent,,,,,,,,,,,,,,,,,,,,,,,,
532,UR,1000000,purple_stone,5,red_stone,5,epic_stone,3,,,,,,,,,,,,,,,,,
533,,1000000,epic_seed,1,elder_fruit,2,,,,,,,100-235-175-175-175,,,,,,,,,,,,150-285-150
